Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Natural,Natural,40,21.5,38,350,0.5,175,1855,755,1100,100,2385,27.2,0,NA,NA,0,0,,
Natural,Natural,20,48.3,38,360,0.51,185,1835,735,1100,190,2392,31.8,0,RX,NA,0.75,0,,
Natural,Natural,20,30,38,375,0.51,190,1835,735,1100,145,2404,23.7,0,NA,NA,0,0,,
Natural,Natural,20,30,25,375,0.51,190,1835,735,1100,145,2405,23.7,32.2,NA,NA,0,0,,
Crushed,Natural,40,51.8,38,375,0.52,195,1870,770,1100,175,2443,27.8,0,NA,NA,0,0,,
Natural,Natural,20,31.6,38,330,0.5,165,1905,800,1105,130,2403,33.1,0,CO,NA,0.8,0,,
Natural,Natural,20,24.2,38,340,0.5,170,1880,770,1110,125,2454,31.4,39,EU,NA,0.75,0,,
Natural,Natural,20,24.4,38,340,0.5,170,1880,770,1110,125,2452,31.4,0,EU,NA,0.75,0,,
Natural,Natural,20,41,38,350,0.53,185,1845,735,1110,110,2384,26.3,34.1,NA,NA,0,0,,
Crushed,Natural,20,12.8,38,350,0.56,195,1910,800,1110,105,2456,27.6,37.1,NA,NA,0,0,,
Natural,Natural,20,41,38,350,0.53,185,1845,735,1110,110,2384,26.3,0,NA,NA,0,0,,
Crushed,Natural,20,12.8,38,350,0.56,195,1910,800,1110,105,2455,27.6,0,NA,NA,0,0,,
Crushed,Natural,20,24,38,350,0.53,185,1915,805,1110,175,2453,34.3,44.8,EU,NA,1,0,,
Crushed,Natural,20,24,38,350,0.53,185,1915,805,1110,220,2405,34.3,0,EU,NA,1,0,,
Natural,Natural,40,0,38,350,0.48,168,1862,745,1110,70,2395,24.7,0,NA,NA,0,0,,
Natural,Natural,20,27.3,38,310,0.51,160,1920,805,1115,120,2407,27.3,0,SP,NA,0.9,0,,
Natural,Natural,20,27.3,38,310,0.51,160,1920,805,1115,120,2406,27.3,39,SP,NA,0.9,0,,
Natural,Natural,20,48.3,38,350,0.5,175,1855,740,1115,80,2386,27.6,37,RX,NA,0.5,0,,
Natural,Natural,20,48.3,38,350,0.5,175,1855,740,1115,80,2387,27.6,0,NA,NA,0,0,,
Crushed,Natural,20,26.9,38,350,0.54,190,1920,805,1115,135,2463,26.7,0,SP,NA,0.9,0,,
Natural,Natural,40,46.4,38,350,0.5,175,1855,740,1115,130,2389,32.4,42.3,EU,NA,0.5,0,,
Natural,Natural,40,46.4,38,350,0.5,175,1855,740,1115,130,2388,32.4,0,EU,NA,0.5,0,,
Natural,Natural,40,46.8,38,350,0.5,175,1855,740,1115,130,2388,32.4,0,EU,NA,0.5,0,,
Natural,Natural,40,0,38,350,0.48,168,1862,745,1117,70,2390,24.7,31.2,NA,NA,0,0,,
Crushed,Natural,20,42.5,38,350,0.54,190,1900,780,1120,145,2445,31.6,38.3,SI,NA,1.25,0,,
Crushed,Natural,20,42.5,38,350,0.54,190,1900,780,1120,145,2446,31.6,0,SI,NA,1.25,0,,
Natural,Natural,40,12.7,38,360,0.49,175,1865,745,1120,120,2404,28,0,NA,NA,0,0,,
